date,xrf,sample,ni,fe,alu,mag,chrom,man
6/4/22,2,S1,0.639,49.195,10.236,1.128,3.873,0.8
6/4/22,2,S12,1.383,13.951,1.193,26.422,1.201,0.331
6/4/22,3,S2,0.643,51.202,6.936,0.729,4.711,0.951
6/4/22,3,S11,1.001,8.325,1.585,25.596,0.715,0.166
6/4/22,3,S12,1.398,14.087,1.32,28.866,1.155,0.325
6/4/22,2,S2,0.648,51.877,6.661,0.984,3.866,0.952
6/5/22,4,S2,0.651,52.013,6.746,1.201,3.665,1.077
6/5/22,4,S11,1.003,8.769,1.114,27.629,0.678,0.186
6/5/22,2,S1,0.637,48.836,10.012,1.109,3.863,0.794
6/5/22,3,S11,0.999,8.324,1.592,25.455,0.714,0.166
6/5/22,3,S2,0.646,51.31,6.899,0.743,4.715,0.955
6/5/22,4,S1,0.624,48.472,8.816,1.615,3.733,0.859
6/5/22,3,S1,0.621,48.447,10.378,0.903,5.043,0.805
6/5/22,3,S12,1.393,14.075,1.323,28.468,1.157,0.325
6/5/22,2,S2,0.661,51.551,6.65,0.972,3.901,0.957
6/6/22,4,S2,0.644,51.844,6.837,1.133,3.648,1.084
6/6/22,2,S1,0.637,48.577,9.953,1.074,3.817,0.787
6/6/22,4,S1,0.63,48.876,8.784,1.687,3.724,0.976
6/6/22,3,S2,0.645,51.342,6.957,0.735,4.754,0.956
6/6/22,2,S2,0.663,51.638,6.668,0.954,3.846,0.941
6/6/22,3,S1,0.621,48.25,10.216,0.897,4.993,0.802
6/7/22,4,S2,0.653,52.166,6.836,1.118,3.749,1.09
6/7/22,2,S1,0.643,48.745,9.953,1.098,3.877,0.796
6/7/22,3,S1,0.633,48.471,10.36,0.896,5.066,0.805
6/7/22,4,S1,0.625,48.462,8.705,1.507,3.774,0.8
6/7/22,3,S2,0.648,51.27,6.878,0.714,4.646,0.957
6/7/22,2,S2,0.663,51.608,6.672,0.969,3.844,0.954
6/7/22,4,S11,1.003,8.865,1.187,27.352,0.697,0.187
6/8/22,3,S2,0.651,51.296,6.874,0.709,4.739,0.947
6/8/22,4,S2,0.649,52.045,6.75,1.146,3.667,1.081
6/8/22,4,S1,0.625,48.663,8.687,1.586,3.716,0.933
6/8/22,3,S1,0.63,48.095,10.555,0.768,5.01,0.792
6/8/22,2,S1,0.64,48.29,9.906,1.065,3.865,0.794
6/8/22,2,S2,0.666,51.331,6.624,0.96,3.901,0.95
6/9/22,2,S2,0.662,51.038,6.654,0.936,3.896,0.95
6/9/22,4,S11,0.996,8.815,1.137,27.42,0.695,0.184
6/9/22,3,S1,0.625,48.436,10.303,0.981,5.103,0.807
6/9/22,4,S1,0.626,48.471,8.689,1.503,3.701,0.879
6/9/22,3,S2,0.639,50.937,6.93,0.75,4.643,0.945
6/9/22,4,S2,0.652,52.245,6.834,1.089,3.731,1.088
6/9/22,2,S1,0.634,48.107,9.399,0.988,3.814,0.787
6/9/22,3,S12,1.387,13.795,1.446,29.87,1.234,0.317
6/10/22,2,S1,0.64,48.251,9.857,1.055,3.841,0.795
6/10/22,3,S2,0.639,51.049,6.835,0.73,4.627,0.954
6/10/22,4,S1,0.631,48.84,8.804,1.521,3.736,0.98
6/10/22,3,S1,0.621,48.253,10.207,0.857,5.002,0.802
6/10/22,4,S2,0.652,52.336,6.817,1.139,3.74,1.082
6/10/22,2,S2,0.659,51.081,6.626,0.983,3.775,0.938
6/10/22,4,S11,0.995,8.868,1.155,26.736,0.701,0.185
6/11/22,2,S2,0.659,50.857,6.595,0.942,3.913,0.952
6/11/22,4,S12,1.372,13.93,1.106,28.135,1.206,0.325
6/11/22,3,S2,0.639,51.135,6.943,0.7,4.646,0.959
6/11/22,4,S2,0.649,51.143,6.886,1.063,3.667,1.074
6/11/22,3,S1,0.622,48.183,10.456,0.827,5.025,0.802
6/11/22,4,S1,0.632,48.905,8.484,1.572,3.709,0.924
6/11/22,2,S1,0.629,47.845,9.842,1.036,3.836,0.796
6/12/22,2,S1,0.635,48.246,9.747,1.038,3.825,0.795
6/12/22,3,S2,0.643,51.172,6.816,0.711,4.592,0.954
6/12/22,4,S1,0.627,48.563,8.62,1.432,3.796,0.782
6/12/22,3,S1,0.629,48.539,9.901,0.859,4.975,0.809
6/12/22,2,S2,0.655,51.252,6.602,0.954,3.842,0.949
6/12/22,4,S2,0.653,51.352,6.868,1.138,3.669,1.07
6/13/22,4,S1,0.624,48.588,8.623,1.524,3.749,0.849
6/13/22,2,S1,0.638,48.473,9.758,1.084,3.843,0.79
6/13/22,4,S11,0.999,8.825,1.124,26.797,0.671,0.186
6/13/22,2,S2,0.66,51.386,6.61,0.964,3.826,0.938
6/13/22,4,S2,0.649,51.443,6.682,1.144,3.632,1.07
6/13/22,3,S2,0.645,51.215,6.87,0.713,4.692,0.95
6/13/22,3,S1,0.625,48.412,10.366,0.865,5.051,0.808
6/14/22,3,S2,0.644,51.317,7.017,0.723,4.764,0.954
6/14/22,3,S1,0.627,48.304,10.247,0.868,5.047,0.799
6/14/22,2,S1,0.641,48.531,9.73,1.094,3.857,0.787
6/14/22,4,S11,1.001,8.842,1.14,27.024,0.674,0.189
6/14/22,2,S2,0.654,51.565,6.594,0.941,3.861,0.94
6/14/22,4,S1,0.623,48.488,8.673,1.726,3.676,0.923
6/14/22,4,S2,0.651,51.952,6.687,1.163,3.663,1.076
6/15/22,4,S11,1.003,8.849,1.148,26.94,0.673,0.191
6/15/22,4,S1,0.623,48.273,8.681,1.626,3.657,0.924
6/15/22,2,S1,0.638,48.488,9.898,1.003,3.884,0.796
6/15/22,2,S2,0.658,51.573,6.644,0.922,3.843,0.954
6/15/22,4,S2,0.652,52.232,6.727,1.15,3.684,1.079
6/15/22,3,S1,0.627,48.338,10.424,0.814,5.052,0.798
6/15/22,3,S2,0.641,51.254,6.787,0.677,4.616,0.956
6/16/22,3,S2,0.643,51.373,6.853,0.674,4.707,0.961
6/16/22,4,S11,1,8.479,1.199,26.052,0.643,0.177
6/16/22,2,S2,0.658,51.749,6.605,0.926,3.884,0.955
6/16/22,4,S1,0.624,48.492,8.634,1.556,3.752,0.851
6/16/22,3,S1,0.627,48.202,10.414,0.785,5.018,0.795
